"measure","max_push_pop","nb_threads","non_blocking","try","thread","global_start_sec","global_start_nsec","global_stop_sec","global_stop_nsec","thread_start_sec","thread_start_nsec","thread_stop_sec","thread_stop_nsec"
1,500000,5,0,2,4,5276,788663633,5276,838357700,5276,788739677,5276,838321452
1,500000,5,0,3,0,5276,899049339,5276,946433806,5276,899090403,5276,946407800
1,500000,5,0,3,1,5276,899049339,5276,946433806,5276,899087867,5276,946267503
1,500000,5,0,3,2,5276,899049339,5276,946433806,5276,899186632,5276,941337425
1,500000,5,0,3,3,5276,899049339,5276,946433806,5276,899145021,5276,942080360
1,500000,5,0,3,4,5276,899049339,5276,946433806,5276,899128045,5276,937894121
1,500000,6,0,1,0,5277,218810882,5277,266718592,5277,218851858,5277,265951252
1,500000,6,0,1,1,5277,218810882,5277,266718592,5277,218848687,5277,265942900
1,500000,6,0,1,2,5277,218810882,5277,266718592,5277,218897845,5277,261364611
1,500000,6,0,1,3,5277,218810882,5277,266718592,5277,218871033,5277,266599381
1,500000,6,0,1,4,5277,218810882,5277,266718592,5277,218965915,5277,266692881
1,500000,6,0,1,5,5277,218810882,5277,266718592,5277,218927776,5277,266414717
1,500000,6,0,2,0,5277,331920029,5277,376386349,5277,331961609,5277,371722541
1,500000,6,0,2,1,5277,331920029,5277,376386349,5277,331959009,5277,373468469
1,500000,6,0,2,2,5277,331920029,5277,376386349,5277,331968640,5277,369570872
1,500000,6,0,2,3,5277,331920029,5277,376386349,5277,332015219,5277,375905335
1,500000,6,0,2,4,5277,331920029,5277,376386349,5277,331995214,5277,367466016
1,500000,6,0,2,5,5277,331920029,5277,376386349,5277,332454455,5277,373878388
1,500000,6,0,3,0,5277,452778639,5277,498833575,5277,452802056,5277,498053215
1,500000,6,0,3,1,5277,452778639,5277,498833575,5277,452819444,5277,498674797
1,500000,6,0,3,2,5277,452778639,5277,498833575,5277,453071092,5277,496084203
1,500000,6,0,3,3,5277,452778639,5277,498833575,5277,452898805,5277,498809695
1,500000,6,0,3,4,5277,452778639,5277,498833575,5277,452875512,5277,492457099
1,500000,6,0,3,5,5277,452778639,5277,498833575,5277,452871489,5277,494579020
2,500000,1,0,1,0,5277,796573322,5277,809967871,5277,797025396,5277,809798080
2,500000,1,0,2,0,5277,852146085,5277,864999201,5277,852200739,5277,864944424
2,500000,1,0,3,0,5277,903079814,5277,916154240,5277,903352447,5277,916095770
2,500000,2,0,1,0,5278,188719352,5278,230625477,5278,188788059,5278,229618806
2,500000,2,0,1,1,5278,188719352,5278,230625477,5278,188788597,5278,230613561
2,500000,2,0,2,0,5278,274783248,5278,319215622,5278,274843976,5278,319203341
2,500000,2,0,2,1,5278,274783248,5278,319215622,5278,274844570,5278,317919930
2,500000,2,0,3,0,5278,361988524,5278,405048694,5278,362059356,5278,405011132
2,500000,2,0,3,1,5278,361988524,5278,405048694,5278,362060501,5278,403703199
2,500000,3,0,1,0,5278,693901294,5278,732383743,5278,694257958,5278,725468462
2,500000,3,0,1,1,5278,693901294,5278,732383743,5278,694282497,5278,732373783
2,500000,3,0,1,2,5278,693901294,5278,732383743,5278,694225603,5278,732233778
2,500000,3,0,2,0,5278,782631602,5278,819907281,5278,782706644,5278,819897160
2,500000,3,0,2,1,5278,782631602,5278,819907281,5278,782706630,5278,816398882
2,500000,3,0,2,2,5278,782631602,5278,819907281,5278,782702943,5278,819103613
2,500000,3,0,3,0,5278,868701873,5278,906676771,5278,868839253,5278,899636242
2,500000,3,0,3,1,5278,868701873,5278,906676771,5278,868834345,5278,906547990
2,500000,3,0,3,2,5278,868701873,5278,906676771,5278,868815726,5278,906633517
2,500000,4,0,1,0,5279,192981305,5279,236989279,5279,193104432,5279,236980331
2,500000,4,0,1,1,5279,192981305,5279,236989279,5279,193102691,5279,235698996
2,500000,4,0,1,2,5279,192981305,5279,236989279,5279,196183896,5279,236614751
2,500000,4,0,1,3,5279,192981305,5279,236989279,5279,196388097,5279,231680274
2,500000,4,0,2,0,5279,293988014,5279,341404175,5279,294085320,5279,339892406
2,500000,4,0,2,1,5279,293988014,5279,341404175,5279,294118616,5279,340045783
2,500000,4,0,2,2,5279,293988014,5279,341404175,5279,294101875,5279,341396900
2,500000,4,0,2,3,5279,293988014,5279,341404175,5279,294613346,5279,341004569
2,500000,4,0,3,0,5279,396861134,5279,440047166,5279,396958868,5279,436427305
2,500000,4,0,3,1,5279,396861134,5279,440047166,5279,396945711,5279,430558720
2,500000,4,0,3,2,5279,396861134,5279,440047166,5279,396951687,5279,439673553
2,500000,4,0,3,3,5279,396861134,5279,440047166,5279,396979184,5279,440040584
2,500000,5,0,1,0,5279,728227397,5279,772068264,5279,729517645,5279,760626375
2,500000,5,0,1,1,5279,728227397,5279,772068264,5279,728314799,5279,768893245
2,500000,5,0,1,2,5279,728227397,5279,772068264,5279,728312868,5279,772045823
2,500000,5,0,1,3,5279,728227397,5279,772068264,5279,729539605,5279,771859945
2,500000,5,0,1,4,5279,728227397,5279,772068264,5279,729671404,5279,770331170
2,500000,5,0,2,0,5279,832187976,5279,881221734,5279,832264623,5279,878144818
2,500000,5,0,2,1,5279,832187976,5279,881221734,5279,832280482,5279,877151977
2,500000,5,0,2,2,5279,832187976,5279,881221734,5279,832265414,5279,878759574
2,500000,5,0,2,3,5279,832187976,5279,881221734,5279,832691805,5279,881048927
2,500000,5,0,2,4,5279,832187976,5279,881221734,5279,832717148,5279,881044676
2,500000,5,0,3,0,5279,942372547,5279,986948463,5279,942455933,5279,985564225
2,500000,5,0,3,1,5279,942372547,5279,986948463,5279,942898356,5279,985974842
2,500000,5,0,3,2,5279,942372547,5279,986948463,5279,942454467,5279,986927939
2,500000,5,0,3,3,5279,942372547,5279,986948463,5279,943024662,5279,986536429
2,500000,5,0,3,4,5279,942372547,5279,986948463,5279,943000485,5279,982970982
2,500000,6,0,1,0,5280,282457431,5280,330495925,5280,283047420,5280,330202224
2,500000,6,0,1,1,5280,282457431,5280,330495925,5280,283047417,5280,326152750
2,500000,6,0,1,2,5280,282457431,5280,330495925,5280,282977545,5280,327978884
2,500000,6,0,1,3,5280,282457431,5280,330495925,5280,283067362,5280,330354150
2,500000,6,0,1,4,5280,282457431,5280,330495925,5280,283118174,5280,328502142
2,500000,6,0,1,5,5280,282457431,5280,330495925,5280,283089813,5280,325916223
2,500000,6,0,2,0,5280,397062332,5280,438459877,5280,399311291,5280,431602314
2,500000,6,0,2,1,5280,397062332,5280,438459877,5280,397145935,5280,399253260
2,500000,6,0,2,2,5280,397062332,5280,438459877,5280,399262288,5280,435514228
2,500000,6,0,2,3,5280,397062332,5280,438459877,5280,399336539,5280,438429502
2,500000,6,0,2,4,5280,397062332,5280,438459877,5280,399423730,5280,438424000
2,500000,6,0,2,5,5280,397062332,5280,438459877,5280,399605151,5280,433682811
2,500000,6,0,3,0,5280,505333599,5280,551486795,5280,506200401,5280,549411541
2,500000,6,0,3,1,5280,505333599,5280,551486795,5280,506169451,5280,547275993
2,500000,6,0,3,2,5280,505333599,5280,551486795,5280,505419418,5280,545802505
2,500000,6,0,3,3,5280,505333599,5280,551486795,5280,506215630,5280,551347012
2,500000,6,0,3,4,5280,505333599,5280,551486795,5280,506270745,5280,551461448
2,500000,6,0,3,5,5280,505333599,5280,551486795,5280,506254796,5280,546542248
